"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jun 04 18:03:05 CST 2020","Thu Jun 04 18:03:05 CST 2020","0","","testrun","TestClass","","","test_run[55-0-54-从报告详情页面-逻辑代码页面-跳转到消息通知页面-[""perform_click""]-[""(By.CSS_SELECTOR,'#uwa-main-app > div.report-section > div.report-header > div > div > div > span > img')|(By.LINK_TEXT,'消息通知')""]-get_url-[""none""]-https://test.uwa4d.com/u/notifications.html-None]",""
"skipped","Thu Jun 04 18:03:05 CST 2020","Thu Jun 04 18:03:05 CST 2020","0","","testrun","TestClass","","","test_run[57-0-56-GOT-回主页-[""click""]-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-side-menu > div > a > img'""]-get_url-[""none""]-https://test.uwa4d.com/u/overview.html#offline_service-None]",""
"skipped","Thu Jun 04 18:03:05 CST 2020","Thu Jun 04 18:03:05 CST 2020","0","","testrun","TestClass","","","test_run[19-0-18-报告详情页面-点击PSS内存峰值-[""click""]-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-section.overflow-visible > div.report-content > div.main-chart.el-row > div.pa-column.overview.el-col.el-col-7 > ul > li:nth-child(2) > span.name'""]-get_text-[""By.CSS_SELECTOR,'.highcharts-title > tspan'""]-PSS内存峰值-None]",""
"passed","Thu Jun 04 18:05:33 CST 2020","Thu Jun 04 18:05:36 CST 2020","3070","","testrun","TestClass","","","test_run[16-0-15-从本地资源检测报告首页-点击使用说明-[""click""]-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-section > div.overview-grid.report-content > div.test-info-container > div.container-header > button > span'""]-get_text-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-section > div.overview-grid.report-content > div.el-dialog__wrapper.plugin-dialog > div > div.el-dialog__body > div.plugin-dialog-header > h3'""]-本地资源检测组件-None]",""
"skipped","Thu Jun 04 18:04:34 CST 2020","Thu Jun 04 18:04:34 CST 2020","0","","testrun","TestClass","","","test_run[31-0-30-从报告详情页面-硬件信息页面-跳转到账户设置界面-[""perform_click""]-[""(By.CSS_SELECTOR,'#uwa-main-app > div.report-section > div.report-header > div > div > div > span > img')|(By.LINK_TEXT,'账户设置')""]-get_url-[""none""]-https://test.uwa4d.com/u/setting.html-None]",""
"skipped","Thu Jun 04 18:04:34 CST 2020","Thu Jun 04 18:04:34 CST 2020","0","","testrun","TestClass","","","test_run[83-0-82-从报告详情页面-运行日志页面-点击Assert-[""click""]-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-section > div.report-content > div:nth-child(2) > div.table-header > button.el-button.el-button--default.el-button--small.is-plain.btn-Assert'""]-get_url-[""none""]-https://test.uwa4d.com/u/gpm/log?dataKey=20200119011251.v516ce9859&project=6821-None]",""
"skipped","Thu Jun 04 18:03:05 CST 2020","Thu Jun 04 18:03:05 CST 2020","0","","testrun","TestClass","","","test_run[90-0-89-从项目页-点击查看跳转到报告详情页面-[""click""]-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-section > div.report-content > div.section-container.table-container > div.el-table.test-info-table.section-container.el-table--fit.el-table--border.el-table--enable-row-transition > div.el-table__body-wrapper.is-scrolling-none > table > tbody > tr > td.el-table_1_column_9 > div > button > span'""]-get_url-[""none""]-https://test.uwa4d.com/u/got/resource.html/report?dataKey=20170721104021oes4f925317&project=233&engine=1-None]",""
"passed","Thu Jun 04 18:03:19 CST 2020","Thu Jun 04 18:03:24 CST 2020","4571","","testrun","TestClass","","","test_run[1-0-0-打开测试首页-跳转到价格页面-[""click""]-[""By.LINK_TEXT,'问答'""]-get_title-[""none""]-UWA问答：帮助开发者找到更好的答案-None]",""
"skipped","Thu Jun 04 18:03:06 CST 2020","Thu Jun 04 18:03:06 CST 2020","0","","testrun","TestClass","","","test_run[117-0-116-项目页-CPU耗时均值-[""click""]-[""By.CSS_SELECTOR,'#uwa-main-app > div.report-section > div.report-content > div.main-chart.el-row > div.data-column.overview.el-col.el-col-7 > ul > li:nth-child(1) > span.name'""]-get_text-[""By.CSS_SELECTOR,'.highcharts-title > tspan'""]-CPU耗时均值-None]",""
"skipped","Thu Jun 04 18:04:34 CST 2020","Thu Jun 04 18:04:34 CST 2020","0","","testrun","TestClass","","","test_run[90-0-89-从登录状态-变成退出登录-[""click"",""perform_click""]-[""""""By.XPATH,'/html/body/div[1]/div[1]/div[2]/div'"""""",""""""(By.XPATH,'/html/body/div[1]/header/nav/div[3]/div/div')|(By.XPATH,'/html/body/ul/li[3]')""""""]-get_url-[""none""]-https://test.uwa4d.com/-None]",""
"skipped","Thu Jun 04 18:04:34 CST 2020","Thu Jun 04 18:04:34 CST 2020","0","","testrun","TestClass","","","test_run[34-1-33-从消息通知页面-跳转到报告详情页面-硬件信息页面-[""back""]-[""none""]-get_url-[""none""]-https://test.uwa4d.com/u/gpm/hardware?dataKey=20200119011251.v516ce9859&project=6821-None]",""
"passed","Wed May 06 16:23:56 CST 2020","Wed May 06 16:24:00 CST 2020","4510","","testrun","TestClass","","","test_run[1-0-0-打开测试首页-跳转到价格页面-[""click""]-[""By.LINK_TEXT,'问答'""]-get_title-[""none""]-UWA问答：帮助开发者找到更好的答案-None0]",""
